# scene_asset_ref.txt - 场景资产源引用清单
# 由 merge_new_assets.py 自动生成, 更新时间: 2026-09-22 15:39:44
# 格式: 资产路径 | 类别 | 尺寸 | 调整建议

# 1. 地面/地形 (ground) - 共 24 个

/Game/PolyHaven/Celandine/Celandine_1k.Celandine_1k | 地面/地形 | 223.9 x 30.7 x 18.6 | 可直接使用
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01b.SM_Dead_Plants_01b | 树木植被 | 48.2 x 48.4 x 49.8 | 缩放x100
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01c.SM_Dead_Plants_01c | 树木植被 | 39.2 x 40.5 x 40.8 | 缩放x100; Z+40(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01d.SM_Dead_Plants_01d | 树木植被 | 43.6 x 39.3 x 42.2 | 缩放x100; Z+40(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01e.SM_Dead_Plants_01e | 树木植被 | 32.5 x 29.3 x 35.4 | 缩放x100; Z+34(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01f.SM_Dead_Plants_01f | 树木植被 | 68.6 x 47.3 x 27.0 | Z+26(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01g.SM_Dead_Plants_01g | 树木植被 | 36.9 x 43.8 x 39.6 | 缩放x100; Z+38(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Dead_Plants_01h.SM_Dead_Plants_01h | 树木植被 | 53.5 x 42.8 x 4.1 | 可直接使用
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01a.SM_Grass_Beach_01a | 树木植被 | 41.2 x 53.1 x 55.7 | Z+49(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01b.SM_Grass_Beach_01b | 树木植被 | 39.5 x 45.0 x 48.6 | 缩放x100; Z+41(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01c.SM_Grass_Beach_01c | 树木植被 | 25.1 x 37.0 x 73.5 | Z+65(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01d.SM_Grass_Beach_01d | 树木植被 | 30.9 x 37.8 x 48.6 | 缩放x100; Z+43(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01e.SM_Grass_Beach_01e | 树木植被 | 42.2 x 38.7 x 80.6 | Z+70(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01f.SM_Grass_Beach_01f | 树木植被 | 53.5 x 49.6 x 36.2 | Z+31(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01g.SM_Grass_Beach_01g | 树木植被 | 67.2 x 52.3 x 17.5 | Z+13(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01h.SM_Grass_Beach_01h | 树木植被 | 47.2 x 42.3 x 46.5 | 缩放x100; Z+42(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01i.SM_Grass_Beach_01i | 树木植被 | 36.3 x 42.6 x 39.6 | 缩放x100; Z+36(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01j.SM_Grass_Beach_01j | 树木植被 | 36.5 x 43.9 x 40.8 | 缩放x100; Z+37(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01k.SM_Grass_Beach_01k | 树木植被 | 34.8 x 33.1 x 40.7 | 缩放x100; Z+37(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01l.SM_Grass_Beach_01l | 树木植被 | 31.3 x 29.9 x 32.7 | 缩放x100; Z+30(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01m.SM_Grass_Beach_01m | 树木植被 | 48.0 x 37.9 x 43.1 | 缩放x100; Z+40(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Beach_01n.SM_Grass_Beach_01n | 树木植被 | 35.9 x 38.0 x 41.7 | 缩放x100; Z+39(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01a.SM_Grass_Tall_Wild_01a | 树木植被 | 87.7 x 80.7 x 166.7 | 可直接使用
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01b.SM_Grass_Tall_Wild_01b | 树木植被 | 92.7 x 82.2 x 148.6 | Z+147(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01c.SM_Grass_Tall_Wild_01c | 树木植被 | 63.7 x 79.2 x 147.3 | Z+146(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01d.SM_Grass_Tall_Wild_01d | 树木植被 | 55.1 x 53.2 x 109.2 | 可直接使用
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01e.SM_Grass_Tall_Wild_01e | 树木植被 | 48.2 x 65.5 x 93.2 | Z+89(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01f.SM_Grass_Tall_Wild_01f | 树木植被 | 65.5 x 60.4 x 146.4 | 检查朝向(竖立); Z+145(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01g.SM_Grass_Tall_Wild_01g | 树木植被 | 60.2 x 72.6 x 86.0 | Z+82(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01h.SM_Grass_Tall_Wild_01h | 树木植被 | 55.0 x 62.1 x 53.2 | Z+51(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01i.SM_Grass_Tall_Wild_01i | 树木植被 | 64.3 x 89.6 x 123.0 | Z+122(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_Grass_Tall_Wild_01j.SM_Grass_Tall_Wild_01j | 树木植被 | 75.4 x 56.9 x 85.3 | Z+83(原点居中)
/Game/Foliage_Sets/VOL22_WildGrass/Meshes/SM_ZBackdrop_01a.SM_ZBackdrop_01a | 树木植被 | 404.1 x 305.5 x 252.0 | 可直接使用
/Game/Foliage_Sets/ground_materials/models/Grass_a.Grass_a | 树木植被 | 237.3 x 249.8 x 81.4 | Z+74(原点居中)
/Game/Foliage_Sets/ground_materials/models/Ground_plane_a.Ground_plane_a | 树木植被 | 1909.4 x 0.0 x 1905.2 | Z+953(原点居中)
/Game/HighPoly_Tree_Model/Meshes/SM_HP_Tree.SM_HP_Tree | 树木植被 | 1945.3 x 1830.3 x 2794.5 | 可直接使用
/Game/MSPresets/MS_Foliage_Material/GlobalFoliageActor/Geometry/Icon_Arrow.Icon_Arrow | 树木植被 | 306.5 x 100.8 x 78.7 | 可直接使用
/Game/MSPresets/MS_Foliage_Material/GlobalFoliageActor/Geometry/Icon_Arrow_Test.Icon_Arrow_Test | 树木植被 | 79.9 x 100.8 x 9.1 | 可直接使用
/Game/MSPresets/MS_Foliage_Material/GlobalFoliageActor/Geometry/Icon_Base.Icon_Base | 树木植被 | 153.1 x 153.1 x 141.5 | 可直接使用
/Game/MSPresets/MS_Foliage_Material/GlobalFoliageActor/Geometry/Icon_Sock.Icon_Sock | 树木植被 | 73.8 x 35.3 x 78.7 | 可直接使用
/Game/Modular_Rural_Cabin/Meshes/Foliage/Bush_Tree.Bush_Tree | 树木植被 | 158.5 x 153.6 x 199.2 | Z+194(原点居中)
/Game/Modular_Rural_Cabin/Meshes/Foliage/Pine_Tree.Pine_Tree | 树木植被 | 624.1 x 666.8 x 1230.0 | 可直接使用
/Game/Modular_Rural_Cabin/Meshes/Foliage/SM_Pine_Tree_01.SM_Pine_Tree_01 | 树木植被 | 587.8 x 568.7 x 1302.9 | 检查朝向(竖立); Z+1255(原点居中)
/Game/Modular_Rural_Cabin/Meshes/Foliage/SM_Pine_Tree_02.SM_Pine_Tree_02 | 树木植被 | 398.7 x 444.5 x 1403.3 | 检查朝向(竖立); Z+1355(原点居中)
/Game/Modular_Rural_Cabin/Meshes/Foliage/SM_Pine_Tree_03.SM_Pine_Tree_03 | 树木植被 | 405.4 x 429.2 x 833.5 | Z+785(原点居中)
/Game/Modular_Rural_Cabin/Meshes/Foliage/SM_Pine_Tree_04.SM_Pine_Tree_04 | 树木植被 | 318.0 x 331.8 x 1757.2 | 检查朝向(竖立); Z+1709(原点居中)
/Game/Modular_Rural_Cabin/Meshes/Foliage/SM_Pine_Tree_05.SM_Pine_Tree_05 | 树木植被 | 264.1 x 294.8 x 587.9 | Z+553(原点居中)
/Game/Modular_Rural_Cabin/Meshes/Props/Tree_Stump_1.Tree_Stump_1 | 树木植被 | 153.2 x 159.6 x 87.0 | Z+82(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/full/high/winter_spruce_full_01.winter_spruce_full_01 | 树木植被 | 460.1 x 505.4 x 1051.7 | 检查朝向(竖立); Z+975(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/full/high/winter_spruce_full_02.winter_spruce_full_02 | 树木植被 | 699.4 x 675.6 x 1190.8 | Z+1165(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/full/high/winter_spruce_full_03.winter_spruce_full_03 | 树木植被 | 641.3 x 703.2 x 1233.9 | Z+1232(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/full/low/winter_spruce_full_01_low.winter_spruce_full_01_low | 树木植被 | 485.1 x 530.4 x 1064.2 | 检查朝向(竖立); Z+984(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/full/low/winter_spruce_full_02_low.winter_spruce_full_02_low | 树木植被 | 699.4 x 675.6 x 1179.6 | Z+1160(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/full/low/winter_spruce_full_03_low.winter_spruce_full_03_low | 树木植被 | 646.9 x 736.5 x 1253.3 | Z+1241(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/high/winter_spruce_half_01.winter_spruce_half_01 | 树木植被 | 401.2 x 367.2 x 1672.5 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/high/winter_spruce_half_02.winter_spruce_half_02 | 树木植被 | 418.7 x 425.9 x 1465.2 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/high/winter_spruce_half_03.winter_spruce_half_03 | 树木植被 | 451.8 x 437.5 x 1641.9 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/high/winter_spruce_half_04.winter_spruce_half_04 | 树木植被 | 423.6 x 412.8 x 1581.4 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/low/winter_spruce_half_01_low.winter_spruce_half_01_low | 树木植被 | 420.7 x 384.1 x 1695.1 | 检查朝向(竖立); Z+1668(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/low/winter_spruce_half_02_low.winter_spruce_half_02_low | 树木植被 | 426.2 x 442.8 x 1508.0 | 检查朝向(竖立); Z+1466(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/low/winter_spruce_half_03_low.winter_spruce_half_03_low | 树木植被 | 469.0 x 453.3 x 1682.1 | 检查朝向(竖立); Z+1652(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/half/low/winter_spruce_half_04_low.winter_spruce_half_04_low | 树木植被 | 460.0 x 452.4 x 1601.6 | 检查朝向(竖立); Z+1576(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_01.winter_spruce_small_01 | 树木植被 | 46.9 x 52.4 x 56.5 | 可直接使用
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_02.winter_spruce_small_02 | 树木植被 | 101.0 x 98.5 x 120.6 | Z+118(原点居中)
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_03.winter_spruce_small_03 | 树木植被 | 104.2 x 123.9 x 177.7 | 可直接使用
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_04.winter_spruce_small_04 | 树木植被 | 172.0 x 166.9 x 255.5 | 可直接使用
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_05.winter_spruce_small_05 | 树木植被 | 382.7 x 427.1 x 452.9 | 可直接使用
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_06.winter_spruce_small_06 | 树木植被 | 417.9 x 461.9 x 634.6 | 可直接使用
/Game/PN_interactiveSpruceForest/ExampleContent/Winter/Meshes/small/winter_spruce_small_07.winter_spruce_small_07 | 树木植被 | 543.5 x 506.5 x 774.0 | 可直接使用
/Game/PN_interactiveSpruceForest/Meshes/full/high/spruce_full_01.spruce_full_01 | 树木植被 | 460.1 x 505.4 x 1051.7 | 检查朝向(竖立); Z+975(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/full/high/spruce_full_02.spruce_full_02 | 树木植被 | 699.4 x 675.6 x 1190.8 | Z+1165(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/full/high/spruce_full_03.spruce_full_03 | 树木植被 | 641.3 x 703.2 x 1233.9 | Z+1232(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/full/low/spruce_full_01_low.spruce_full_01_low | 树木植被 | 485.1 x 530.4 x 1064.2 | 检查朝向(竖立); Z+984(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/full/low/spruce_full_02_low.spruce_full_02_low | 树木植被 | 699.4 x 675.6 x 1179.6 | Z+1160(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/full/low/spruce_full_03_low.spruce_full_03_low | 树木植被 | 646.9 x 736.5 x 1253.3 | Z+1241(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/half/high/spruce_half_01.spruce_half_01 | 树木植被 | 401.2 x 367.2 x 1672.5 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/Meshes/half/high/spruce_half_02.spruce_half_02 | 树木植被 | 418.7 x 425.9 x 1465.2 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/Meshes/half/high/spruce_half_03.spruce_half_03 | 树木植被 | 451.8 x 437.5 x 1641.9 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/Meshes/half/high/spruce_half_04.spruce_half_04 | 树木植被 | 423.6 x 412.8 x 1581.4 | 检查朝向(竖立)
/Game/PN_interactiveSpruceForest/Meshes/half/low/spruce_half_01_low.spruce_half_01_low | 树木植被 | 420.7 x 384.1 x 1695.1 | 检查朝向(竖立); Z+1668(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/half/low/spruce_half_02_low.spruce_half_02_low | 树木植被 | 426.2 x 442.8 x 1508.0 | 检查朝向(竖立); Z+1466(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/half/low/spruce_half_03_low.spruce_half_03_low | 树木植被 | 469.0 x 453.3 x 1682.1 | 检查朝向(竖立); Z+1652(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/half/low/spruce_half_04_low.spruce_half_04_low | 树木植被 | 460.0 x 452.4 x 1601.6 | 检查朝向(竖立); Z+1576(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_01.spruce_small_01 | 树木植被 | 46.9 x 52.4 x 56.5 | 可直接使用
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_02.spruce_small_02 | 树木植被 | 101.0 x 98.5 x 120.6 | Z+118(原点居中)
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_03.spruce_small_03 | 树木植被 | 104.2 x 123.9 x 177.7 | 可直接使用
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_04.spruce_small_04 | 树木植被 | 172.0 x 166.9 x 255.5 | 可直接使用
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_05.spruce_small_05 | 树木植被 | 382.7 x 427.1 x 452.9 | 可直接使用
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_06.spruce_small_06 | 树木植被 | 417.9 x 461.9 x 634.6 | 可直接使用
/Game/PN_interactiveSpruceForest/Meshes/small/spruce_small_07.spruce_small_07 | 树木植被 | 543.5 x 506.5 x 774.0 | 可直接使用
/Game/PolyHaven/DeadTreeTrunk/DeadTreeTrunk_1k.DeadTreeTrunk_1k | 树木植被 | 305.1 x 27.8 x 29.0 | Z+26(原点居中)
/Game/PolyHaven/PineSaplingMed/PineSaplingMed_1k.PineSaplingMed_1k | 树木植被 | 1551.8 x 540.9 x 1150.0 | Z+1129(原点居中)
/Game/PolyHaven/TreeSmall/TreeSmall_1k.TreeSmall_1k | 树木植被 | 291.7 x 429.2 x 455.7 | Z+453(原点居中)
/Game/PolyHaven/TreeStump/TreeStump_1k.TreeStump_1k | 树木植被 | 142.6 x 159.0 x 57.3 | Z+38(原点居中)
/Game/RuralHouse/Environment/Trees/SM_FirTreeDead_01.SM_FirTreeDead_01 | 树木植被 | 909.1 x 903.4 x 3773.7 | 检查朝向(竖立)
/Game/RuralHouse/Environment/Trees/SM_FirTree_01.SM_FirTree_01 | 树木植被 | 919.2 x 929.2 x 3095.3 | 检查朝向(竖立)
/Game/RuralHouse/Environment/Trees/SM_FirTree_02.SM_FirTree_02 | 树木植被 | 958.2 x 924.5 x 3577.7 | 检查朝向(竖立)
/Game/RuralHouse/Environment/Trees/SM_FirTree_03.SM_FirTree_03 | 树木植被 | 951.2 x 922.0 x 3398.9 | 检查朝向(竖立)
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_01.SM_Stylized_Tree_Acacia_01 | 树木植被 | 621.6 x 628.1 x 584.4 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_02.SM_Stylized_Tree_Acacia_02 | 树木植被 | 523.7 x 585.5 x 600.6 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_03.SM_Stylized_Tree_Acacia_03 | 树木植被 | 528.8 x 535.1 x 532.0 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_04.SM_Stylized_Tree_Acacia_04 | 树木植被 | 561.4 x 567.4 x 527.9 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_05.SM_Stylized_Tree_Acacia_05 | 树木植被 | 506.2 x 566.0 x 580.6 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_06.SM_Stylized_Tree_Acacia_06 | 树木植被 | 547.6 x 554.2 x 551.0 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_07.SM_Stylized_Tree_Acacia_07 | 树木植被 | 515.0 x 566.2 x 575.0 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_08.SM_Stylized_Tree_Acacia_08 | 树木植被 | 581.5 x 587.6 x 546.7 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_09.SM_Stylized_Tree_Acacia_09 | 树木植被 | 541.1 x 595.9 x 620.7 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Acacia/SM_Stylized_Tree_Acacia_10.SM_Stylized_Tree_Acacia_10 | 树木植被 | 568.8 x 600.9 x 589.0 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_01.SM_Stylized_Tree_Beech_01 | 树木植被 | 390.1 x 415.9 x 582.5 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_02.SM_Stylized_Tree_Beech_02 | 树木植被 | 427.9 x 402.1 x 584.9 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_03.SM_Stylized_Tree_Beech_03 | 树木植被 | 416.5 x 412.1 x 582.5 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_04.SM_Stylized_Tree_Beech_04 | 树木植被 | 427.9 x 402.1 x 584.9 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_05.SM_Stylized_Tree_Beech_05 | 树木植被 | 412.4 x 399.3 x 578.3 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_06.SM_Stylized_Tree_Beech_06 | 树木植被 | 388.6 x 399.9 x 586.4 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_07.SM_Stylized_Tree_Beech_07 | 树木植被 | 405.9 x 377.8 x 589.1 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_08.SM_Stylized_Tree_Beech_08 | 树木植被 | 368.0 x 354.0 x 745.5 | 检查朝向(竖立)
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_09.SM_Stylized_Tree_Beech_09 | 树木植被 | 416.8 x 393.1 x 571.8 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Beech/SM_Stylized_Tree_Beech_10.SM_Stylized_Tree_Beech_10 | 树木植被 | 380.1 x 394.9 x 927.2 | 检查朝向(竖立)
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_01.SM_Stylized_Tree_Joshua_01 | 树木植被 | 223.3 x 214.4 x 369.4 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_02.SM_Stylized_Tree_Joshua_02 | 树木植被 | 181.3 x 248.8 x 373.3 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_03.SM_Stylized_Tree_Joshua_03 | 树木植被 | 216.8 x 258.5 x 377.6 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_04.SM_Stylized_Tree_Joshua_04 | 树木植被 | 161.5 x 224.9 x 385.0 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_05.SM_Stylized_Tree_Joshua_05 | 树木植被 | 191.6 x 264.8 x 396.6 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_06.SM_Stylized_Tree_Joshua_06 | 树木植被 | 207.8 x 218.3 x 377.6 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_07.SM_Stylized_Tree_Joshua_07 | 树木植被 | 218.7 x 236.3 x 371.3 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_08.SM_Stylized_Tree_Joshua_08 | 树木植被 | 178.8 x 248.4 x 380.0 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_09.SM_Stylized_Tree_Joshua_09 | 树木植被 | 180.9 x 254.1 x 385.5 | 可直接使用
/Game/Stylized_Tree_Pack/Meshes/Joshua/SM_Stylized_Tree_Joshua_10.SM_Stylized_Tree_Joshua_10 | 树木植被 | 218.7 x 236.3 x 371.3 | 可直接使用
